"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 00:00","2021","06","01","00:00","13.3","","5.5","","59","","","","24","","12","","24.1","","101.47","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 01:00","2021","06","01","01:00","13.3","","4.3","","54","","","","23","","11","","24.1","","101.47","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 02:00","2021","06","01","02:00","12.9","","4.7","","57","","","","24","","16","","24.1","","101.47","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 03:00","2021","06","01","03:00","12.6","","5.4","","61","","","","23","","15","","24.1","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 04:00","2021","06","01","04:00","12.8","","5.0","","59","","","","24","","14","","24.1","","101.52","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 05:00","2021","06","01","05:00","13.1","","5.6","","60","","","","24","","17","","24.1","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 06:00","2021","06","01","06:00","14.6","","6.0","","56","","","","25","","21","","24.1","","101.59","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 07:00","2021","06","01","07:00","14.8","","5.8","","54","","","","24","","14","","48.3","","101.61","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 08:00","2021","06","01","08:00","15.6","","5.7","","51","","","","23","","17","","48.3","","101.65","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 09:00","2021","06","01","09:00","16.9","","7.5","","53","","","","21","","16","","48.3","","101.66","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 10:00","2021","06","01","10:00","18.4","","7.6","","49","","","","24","","15","","48.3","","101.63","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 11:00","2021","06","01","11:00","20.2","","9.4","","49","","","","21","","28","","48.3","","101.58","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 12:00","2021","06","01","12:00","23.4","","7.1","","35","","","","24","","33","","48.3","","101.51","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 13:00","2021","06","01","13:00","23.7","","8.4","","37","","","","22","","28","","48.3","","101.46","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 14:00","2021","06","01","14:00","25.2","","7.1","","31","","","","25","","26","","48.3","","101.39","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 15:00","2021","06","01","15:00","23.5","","9.7","","41","","","","22","","28","","48.3","","101.37","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 16:00","2021","06","01","16:00","24.6","","8.6","","35","","","","22","","32","","48.3","","101.36","","25","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 17:00","2021","06","01","17:00","23.1","","8.3","","38","","","","23","","37","","48.3","","101.39","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 18:00","2021","06","01","18:00","21.8","","8.6","","42","","","","23","","26","","48.3","","101.41","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 19:00","2021","06","01","19:00","21.1","","8.3","","43","","","","24","","24","","48.3","","101.45","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 20:00","2021","06","01","20:00","20.7","","8.5","","45","","","","24","","21","","48.3","","101.51","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 21:00","2021","06","01","21:00","19.6","","9.5","","52","","","","22","","9","","24.1","","101.55","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 22:00","2021","06","01","22:00","16.7","","11.2","","70","","","","9","","5","","24.1","","101.57","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-01 23:00","2021","06","01","23:00","14.9","","10.9","","76","","","","25","","7","","24.1","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 00:00","2021","06","02","00:00","16.5","","9.7","","64","","","","21","","9","","24.1","","101.56","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 01:00","2021","06","02","01:00","14.8","","9.7","","71","","","","23","","9","","24.1","","101.56","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 02:00","2021","06","02","02:00","13.7","","8.4","","70","","","","23","","4","","24.1","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 03:00","2021","06","02","03:00","13.8","","8.7","","71","","","","24","","13","","24.1","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 04:00","2021","06","02","04:00","13.5","","10.0","","79","","","","23","","14","","24.1","","101.59","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 05:00","2021","06","02","05:00","14.4","","9.5","","72","","","","23","","17","","48.3","","101.67","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 06:00","2021","06","02","06:00","15.9","","8.9","","63","","","","24","","15","","48.3","","101.69","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 07:00","2021","06","02","07:00","17.7","","8.9","","56","","","","25","","17","","48.3","","101.71","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 08:00","2021","06","02","08:00","19.5","","10.2","","54","","","","21","","13","","48.3","","101.74","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 09:00","2021","06","02","09:00","20.6","","10.4","","52","","","","20","","19","","48.3","","101.72","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 10:00","2021","06","02","10:00","22.9","","9.2","","41","","","","21","","18","","48.3","","101.68","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 11:00","2021","06","02","11:00","24.7","","8.6","","35","","","","20","","19","","48.3","","101.65","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 12:00","2021","06","02","12:00","25.7","","8.3","","33","","","","19","","23","","48.3","","101.60","","26","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 13:00","2021","06","02","13:00","25.7","","8.5","","33","","","","20","","23","","48.3","","101.53","","26","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 14:00","2021","06","02","14:00","26.9","","6.1","","26","","","","20","","23","","48.3","","101.46","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 15:00","2021","06","02","15:00","27.4","","6.1","","25","","","","25","","24","","48.3","","101.40","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 16:00","2021","06","02","16:00","27.1","","7.4","","28","","","","23","","16","","48.3","","101.34","","27","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 17:00","2021","06","02","17:00","26.6","","7.3","","29","","","","22","","14","","48.3","","101.29","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 18:00","2021","06","02","18:00","24.9","","8.7","","35","","","","19","","14","","48.3","","101.28","","26","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 19:00","2021","06","02","19:00","24.1","","8.9","","38","","","","15","","14","","48.3","","101.25","","25","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 20:00","2021","06","02","20:00","23.0","","9.3","","41","","","","14","","11","","48.3","","101.22","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 21:00","2021","06","02","21:00","21.5","","9.8","","47","","","","17","","9","","24.1","","101.25","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 22:00","2021","06","02","22:00","20.6","","10.3","","51","","","","20","","14","","24.1","","101.28","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-02 23:00","2021","06","02","23:00","19.8","","11.6","","59","","","","22","","17","","24.1","","101.26","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 00:00","2021","06","03","00:00","18.3","","11.6","","64","","","","17","","11","","24.1","","101.23","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 01:00","2021","06","03","01:00","18.0","","10.9","","63","","","","14","","10","","24.1","","101.21","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 02:00","2021","06","03","02:00","17.0","","11.5","","70","","","","13","","11","","24.1","","101.16","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 03:00","2021","06","03","03:00","16.3","","12.7","","79","","","","12","","9","","24.1","","101.14","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 04:00","2021","06","03","04:00","16.2","","13.8","","86","","","","16","","10","","24.1","","101.14","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 05:00","2021","06","03","05:00","16.7","","13.8","","83","","","","16","","11","","24.1","","101.12","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 06:00","2021","06","03","06:00","16.2","","14.7","","91","","","","17","","10","","24.1","","101.13","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 07:00","2021","06","03","07:00","16.8","","15.7","","93","","","","18","","15","","24.1","","101.10","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 08:00","2021","06","03","08:00","17.3","","16.3","","94","","","","21","","11","","24.1","","101.07","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 09:00","2021","06","03","09:00","17.3","","16.3","","94","","","","16","","11","","24.1","","100.98","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 10:00","2021","06","03","10:00","17.5","","15.9","","91","","","","13","","12","","19.3","","100.90","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 11:00","2021","06","03","11:00","17.9","","15.7","","87","","","","14","","13","","24.1","","100.82","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 12:00","2021","06","03","12:00","17.1","","16.3","","95","","","","15","","7","","2.8","","100.78","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 13:00","2021","06","03","13:00","17.4","","16.4","","94","","","","12","","12","","16.1","","100.68","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 14:00","2021","06","03","14:00","17.5","","16.8","","95","","","","17","","7","","12.9","","100.63","","","","","","Drizzle"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 15:00","2021","06","03","15:00","18.6","","17.5","","93","","","","19","","9","","16.1","","100.54","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 16:00","2021","06","03","16:00","18.7","","17.1","","91","","","","24","","13","","24.1","","100.52","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 17:00","2021","06","03","17:00","18.9","","17.3","","90","","","","21","","8","","24.1","","100.47","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 18:00","2021","06","03","18:00","18.7","","17.1","","90","","","","20","","14","","24.1","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 19:00","2021","06","03","19:00","18.5","","16.8","","90","","","","22","","14","","24.1","","100.44","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 20:00","2021","06","03","20:00","17.9","","16.8","","93","","","","21","","7","","24.1","","100.48","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 21:00","2021","06","03","21:00","17.6","","16.7","","94","","","","21","","9","","24.1","","100.53","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 22:00","2021","06","03","22:00","17.7","","16.9","","95","","","","23","","14","","24.1","","100.51","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-03 23:00","2021","06","03","23:00","17.5","","16.4","","93","","","","24","","15","","24.1","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 00:00","2021","06","04","00:00","17.5","","16.3","","93","","","","24","","19","","24.1","","100.45","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 01:00","2021","06","04","01:00","17.1","","16.1","","94","","","","24","","18","","24.1","","100.48","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 02:00","2021","06","04","02:00","17.4","","16.2","","93","","","","24","","22","","24.1","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 03:00","2021","06","04","03:00","17.2","","16.1","","93","","","","22","","15","","24.1","","100.48","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 04:00","2021","06","04","04:00","17.2","","15.8","","91","","","","24","","14","","24.1","","100.49","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 05:00","2021","06","04","05:00","17.3","","15.7","","91","","","","23","","16","","24.1","","100.53","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 06:00","2021","06","04","06:00","17.4","","15.8","","91","","","","24","","18","","24.1","","100.55","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 07:00","2021","06","04","07:00","17.7","","15.8","","88","","","","24","","24","","24.1","","100.59","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 08:00","2021","06","04","08:00","18.2","","15.9","","86","","","","21","","15","","24.1","","100.61","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 09:00","2021","06","04","09:00","19.9","","16.5","","80","","","","23","","12","","24.1","","100.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 10:00","2021","06","04","10:00","21.6","","16.5","","73","","","","20","","21","","24.1","","100.55","","27","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 11:00","2021","06","04","11:00","23.6","","16.4","","63","","","","22","","17","","24.1","","100.50","","28","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 12:00","2021","06","04","12:00","24.1","","16.5","","62","","","","20","","23","","24.1","","100.49","","29","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 13:00","2021","06","04","13:00","25.5","","16.1","","56","","","","20","","27","","24.1","","100.46","","30","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 14:00","2021","06","04","14:00","26.1","","16.4","","54","","","","22","","23","","48.3","","100.40","","31","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 15:00","2021","06","04","15:00","27.2","","14.1","","44","","","","22","","29","","24.1","","100.35","","31","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 16:00","2021","06","04","16:00","26.6","","14.3","","46","","","","22","","30","","24.1","","100.34","","30","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 17:00","2021","06","04","17:00","25.0","","14.6","","52","","","","22","","28","","24.1","","100.34","","29","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-06-04 18:00","2021","06","04","18:00","25.0","","15.4","","55","","","","22","","26","","24.1","","100.34","","29","","","","NA"
