"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 00:00","2021","02","01","00:00","-18.5","","-21.6","","77","","","","3","","12","","24.1","","102.25","","","","-26","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 01:00","2021","02","01","01:00","-17.8","","-21.1","","76","","","","4","","16","","24.1","","102.24","","","","-27","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 02:00","2021","02","01","02:00","-17.4","","-20.7","","76","","","","2","","15","","24.1","","102.22","","","","-26","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 03:00","2021","02","01","03:00","-17.6","","-20.3","","80","","","","2","","17","","24.1","","102.20","","","","-27","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 04:00","2021","02","01","04:00","-18.0","","-20.3","","82","","","","2","","18","","24.1","","102.15","","","","-27","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 05:00","2021","02","01","05:00","-18.4","","-21.0","","80","","","","2","","15","","24.1","","102.14","","","","-27","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 06:00","2021","02","01","06:00","-18.0","","-20.5","","81","","","","2","","16","","24.1","","102.14","","","","-27","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 07:00","2021","02","01","07:00","-17.5","","-20.1","","81","","","","3","","18","","48.3","","102.13","","","","-27","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 08:00","2021","02","01","08:00","-16.6","","-19.6","","78","","","","3","","19","","48.3","","102.16","","","","-26","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01 09:00","2021","02","01","09:00","-14.8","","-18.2","","76","","","","3","","22","","48.3","","102.17","","","","-24","","NA"
