"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 00:00","2022","06","01","00:00","16.4","","6.3","","51","","","","7","","22","","24.1","","101.21","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 01:00","2022","06","01","01:00","15.2","","5.9","","54","","","","5","","17","","24.1","","101.17","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 02:00","2022","06","01","02:00","14.9","","5.3","","52","","","","5","","20","","24.1","","101.13","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 03:00","2022","06","01","03:00","14.7","","5.1","","52","","","","5","","24","","24.1","","101.05","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 04:00","2022","06","01","04:00","14.4","","4.9","","53","","","","4","","28","","24.1","","101.07","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 05:00","2022","06","01","05:00","14.1","","4.9","","53","","","","5","","25","","24.1","","101.04","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 06:00","2022","06","01","06:00","13.9","","5.1","","55","","","","4","","30","","24.1","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 07:00","2022","06","01","07:00","13.9","","5.8","","58","","","","4","","21","","24.1","","101.04","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 08:00","2022","06","01","08:00","13.8","","6.2","","60","","","","4","","21","","24.1","","101.08","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 09:00","2022","06","01","09:00","14.0","","7.0","","63","","","","3","","20","","24.1","","101.00","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 10:00","2022","06","01","10:00","15.6","","7.1","","57","","","","6","","21","","24.1","","100.91","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 11:00","2022","06","01","11:00","16.3","","8.1","","58","","","","7","","17","","24.1","","100.90","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 12:00","2022","06","01","12:00","16.6","","10.0","","65","","","","8","","19","","24.1","","100.82","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 13:00","2022","06","01","13:00","16.9","","12.4","","75","","","","8","","19","","24.1","","100.76","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 14:00","2022","06","01","14:00","17.2","","12.6","","74","","","","8","","18","","24.1","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 15:00","2022","06","01","15:00","17.1","","12.9","","76","","","","8","","18","","24.1","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 16:00","2022","06","01","16:00","17.0","","12.7","","76","","","","13","","14","","24.1","","100.63","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 17:00","2022","06","01","17:00","16.8","","13.0","","78","","","","8","","9","","24.1","","100.55","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 18:00","2022","06","01","18:00","16.8","","12.9","","78","","","","16","","15","","24.1","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 19:00","2022","06","01","19:00","16.4","","13.5","","83","","","","11","","11","","19.3","","100.39","","","","","","Drizzle"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 20:00","2022","06","01","20:00","15.6","","13.2","","86","","","","9","","11","","16.1","","100.35","","","","","","Drizzle"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 21:00","2022","06","01","21:00","15.2","","13.8","","92","","","","6","","3","","16.1","","100.37","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 22:00","2022","06","01","22:00","14.7","","13.8","","95","","","","35","","12","","24.1","","100.36","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-01 23:00","2022","06","01","23:00","13.4","","12.9","","96","","","","2","","24","","8.1","","100.35","","","","","","Drizzle,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 00:00","2022","06","02","00:00","13.4","","12.8","","97","","","","2","","22","","9.7","","100.40","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 01:00","2022","06","02","01:00","13.6","","12.7","","95","","","","5","","23","","16.1","","100.38","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 02:00","2022","06","02","02:00","13.0","","11.4","","90","","","","3","","19","","24.1","","100.39","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 03:00","2022","06","02","03:00","11.8","","10.5","","92","","","","4","","18","","24.1","","100.33","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 04:00","2022","06","02","04:00","11.5","","10.7","","95","","","","35","","10","","24.1","","100.32","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 05:00","2022","06","02","05:00","11.9","","10.6","","92","","","","36","","17","","24.1","","100.37","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 06:00","2022","06","02","06:00","12.0","","9.8","","86","","","","2","","18","","24.1","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 07:00","2022","06","02","07:00","13.7","","10.2","","79","","","","4","","21","","24.1","","100.50","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 08:00","2022","06","02","08:00","15.0","","10.5","","74","","","","3","","19","","24.1","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 09:00","2022","06","02","09:00","15.8","","10.0","","68","","","","5","","24","","24.1","","100.45","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 10:00","2022","06","02","10:00","17.9","","10.5","","62","","","","1","","14","","24.1","","100.47","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 11:00","2022","06","02","11:00","18.7","","11.3","","62","","","","4","","12","","24.1","","100.45","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 12:00","2022","06","02","12:00","18.9","","11.2","","60","","","","3","","9","","24.1","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 13:00","2022","06","02","13:00","20.2","","11.7","","58","","","","8","","7","","24.1","","100.33","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 14:00","2022","06","02","14:00","21.0","","12.6","","58","","","","15","","8","","24.1","","100.29","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 15:00","2022","06","02","15:00","21.7","","13.2","","58","","","","16","","13","","24.1","","100.28","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 16:00","2022","06","02","16:00","21.4","","13.1","","59","","","","14","","4","","24.1","","100.25","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 17:00","2022","06","02","17:00","20.7","","12.6","","59","","","","13","","7","","24.1","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 18:00","2022","06","02","18:00","20.5","","12.2","","59","","","","11","","7","","24.1","","100.24","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 19:00","2022","06","02","19:00","20.3","","12.4","","60","","","","16","","12","","24.1","","100.25","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 20:00","2022","06","02","20:00","19.0","","12.6","","66","","","","18","","9","","24.1","","100.23","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 21:00","2022","06","02","21:00","17.5","","13.1","","75","","","","23","","10","","24.1","","100.23","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 22:00","2022","06","02","22:00","17.6","","14.3","","81","","","","25","","7","","24.1","","100.23","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-06-02 23:00","2022","06","02","23:00","18.0","","14.6","","81","","","","22","","8","","24.1","","100.24","","","","","","NA"
