"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 00:00","2021","12","01","00:00","-2.0","","-3.2","","91","","","","13","","9","","24.1","","100.53","","","","-5","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 01:00","2021","12","01","01:00","-2.0","","-3.2","","92","","","","10","","9","","24.1","","100.49","","","","-5","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 02:00","2021","12","01","02:00","-1.4","","-2.5","","93","","","","15","","13","","24.1","","100.53","","","","-6","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 03:00","2021","12","01","03:00","-0.9","","-1.9","","93","","","","14","","11","","24.1","","100.53","","","","-5","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 04:00","2021","12","01","04:00","0.1","","-0.9","","93","","","","19","","10","","16.1","","100.52","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 05:00","2021","12","01","05:00","0.8","","0.0","","94","","","","22","","17","","19.3","","100.56","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 06:00","2021","12","01","06:00","1.1","","-0.4","","89","","","","26","","28","","24.1","","100.65","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 07:00","2021","12","01","07:00","0.7","","-2.2","","81","","","","27","","28","","24.1","","100.78","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 08:00","2021","12","01","08:00","0.2","","-3.2","","78","","","","26","","25","","24.1","","100.92","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 09:00","2021","12","01","09:00","-0.3","","-6.5","","63","","","","29","","35","","24.1","","101.06","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 10:00","2021","12","01","10:00","-0.8","","-7.7","","60","","","","27","","27","","48.3","","101.22","","","","-7","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 11:00","2021","12","01","11:00","-0.3","","-6.8","","62","","","","26","","26","","48.3","","101.29","","","","-6","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 12:00","2021","12","01","12:00","-0.5","","-6.1","","66","","","","25","","27","","48.3","","101.38","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 13:00","2021","12","01","13:00","-1.4","","-7.3","","65","","","","27","","29","","48.3","","101.43","","","","-8","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 14:00","2021","12","01","14:00","-1.2","","-8.4","","59","","","","26","","28","","48.3","","101.44","","","","-8","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 15:00","2021","12","01","15:00","-1.8","","-11.2","","49","","","","27","","16","","48.3","","101.46","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 16:00","2021","12","01","16:00","-2.8","","-9.7","","60","","","","24","","17","","48.3","","101.53","","","","-8","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 17:00","2021","12","01","17:00","-3.9","","-10.6","","60","","","","23","","10","","24.1","","101.53","","","","-8","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 18:00","2021","12","01","18:00","-4.0","","-11.2","","57","","","","30","","9","","24.1","","101.53","","","","-8","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 19:00","2021","12","01","19:00","-3.9","","-10.3","","61","","","","36","","2","","24.1","","101.51","","","","-5","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 20:00","2021","12","01","20:00","-2.8","","-8.4","","65","","","","14","","8","","24.1","","101.45","","","","-6","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 21:00","2021","12","01","21:00","-2.7","","-8.3","","66","","","","14","","12","","24.1","","101.37","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 22:00","2021","12","01","22:00","-3.3","","-8.7","","66","","","","12","","9","","24.1","","101.23","","","","-7","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01 23:00","2021","12","01","23:00","-2.6","","-8.3","","65","","","","12","","13","","24.1","","101.08","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 00:00","2021","12","02","00:00","-2.2","","-7.3","","68","","","","12","","14","","24.1","","100.99","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 01:00","2021","12","02","01:00","-1.9","","-5.9","","74","","","","13","","20","","24.1","","100.83","","","","-8","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 02:00","2021","12","02","02:00","-1.1","","-4.6","","77","","","","14","","18","","24.1","","100.77","","","","-6","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 03:00","2021","12","02","03:00","0.1","","-3.4","","77","","","","13","","26","","24.1","","100.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 04:00","2021","12","02","04:00","0.9","","-3.0","","75","","","","13","","16","","24.1","","100.47","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 05:00","2021","12","02","05:00","0.7","","-1.1","","87","","","","14","","27","","9.7","","100.32","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 06:00","2021","12","02","06:00","0.9","","-0.1","","93","","","","14","","27","","24.1","","100.11","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 07:00","2021","12","02","07:00","1.2","","0.0","","91","","","","13","","25","","24.1","","99.97","","","","","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 08:00","2021","12","02","08:00","1.8","","0.0","","88","","","","15","","22","","24.1","","99.84","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 09:00","2021","12","02","09:00","2.2","","0.0","","85","","","","14","","24","","24.1","","99.70","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 10:00","2021","12","02","10:00","2.7","","0.3","","84","","","","15","","22","","24.1","","99.59","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 11:00","2021","12","02","11:00","3.0","","0.9","","86","","","","15","","23","","24.1","","99.42","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 12:00","2021","12","02","12:00","3.3","","1.4","","88","","","","14","","12","","24.1","","99.21","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 13:00","2021","12","02","13:00","4.5","","2.9","","90","","","","16","","27","","24.1","","99.04","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 14:00","2021","12","02","14:00","4.7","","2.8","","88","","","","16","","32","","24.1","","98.92","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 15:00","2021","12","02","15:00","4.7","","3.2","","90","","","","16","","24","","16.1","","98.87","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 16:00","2021","12","02","16:00","4.7","","3.8","","94","","","","15","","19","","24.1","","98.80","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 17:00","2021","12","02","17:00","5.9","","4.6","","91","","","","19","","22","","24.1","","98.85","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 18:00","2021","12","02","18:00","4.9","","2.9","","87","","","","21","","33","","19.3","","98.91","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 19:00","2021","12","02","19:00","4.9","","2.3","","83","","","","24","","36","","24.1","","98.98","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 20:00","2021","12","02","20:00","5.0","","2.2","","82","","","","24","","34","","24.1","","99.02","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 21:00","2021","12","02","21:00","4.6","","2.0","","83","","","","25","","27","","24.1","","99.11","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 22:00","2021","12","02","22:00","4.3","","1.3","","81","","","","27","","27","","24.1","","99.21","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02 23:00","2021","12","02","23:00","3.4","","-0.3","","77","","","","27","","26","","24.1","","99.33","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-03 00:00","2021","12","03","00:00","2.1","","-1.2","","78","","","","27","","30","","24.1","","99.44","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-03 01:00","2021","12","03","01:00","0.8","","-2.7","","78","","","","28","","32","","24.1","","99.60","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-03 02:00","2021","12","03","02:00","0.4","","-5.1","","67","","","","30","","34","","24.1","","99.79","","","","","","NA"
