"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 00:00","2024","06","01","00:00","","17.1","","8.8","","58","","","","23","","5","","24.1","","101.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 01:00","2024","06","01","01:00","","16.4","","8.9","","61","","","","23","","7","","24.1","","101.42","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 02:00","2024","06","01","02:00","","14.4","","8.8","","69","","","","26","","10","","24.1","","101.47","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 03:00","2024","06","01","03:00","","13.0","","8.2","","73","","","","25","","9","","24.1","","101.52","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 04:00","2024","06","01","04:00","","12.9","","7.9","","71","","","","24","","5","","24.1","","101.55","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 05:00","2024","06","01","05:00"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 06:00","2024","06","01","06:00","","14.8","","9.8","","72","","","","24","","10","","48.3","","101.64","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 07:00","2024","06","01","07:00","","16.2","","10.2","","68","","","","24","","9","","48.3","","101.64","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 08:00","2024","06","01","08:00","","17.7","","10.3","","61","","","","22","","11","","48.3","","101.68","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 09:00","2024","06","01","09:00","","19.2","","10.2","","56","","","","20","","14","","48.3","","101.63","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 10:00","2024","06","01","10:00","","20.5","","9.8","","50","","","","23","","14","","48.3","","101.61","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 11:00","2024","06","01","11:00","","22.1","","9.3","","44","","","","22","","16","","48.3","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 12:00","2024","06","01","12:00","","24.2","","8.9","","37","","","","22","","15","","48.3","","101.52","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 13:00","2024","06","01","13:00","","25.6","","7.5","","31","","","","21","","20","","48.3","","101.45","","26","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 14:00","2024","06","01","14:00","","26.5","","7.0","","28","","","","21","","17","","48.3","","101.38","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 15:00","2024","06","01","15:00","","27.1","","9.5","","33","","","","22","","18","","48.3","","101.33","","28","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 16:00","2024","06","01","16:00","","27.2","","8.5","","30","","","","22","","16","","48.3","","101.29","","28","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 17:00","2024","06","01","17:00","","26.9","","7.9","","29","","","","19","","16","","48.3","","101.25","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 18:00","2024","06","01","18:00","","26.0","","8.3","","32","","","","23","","14","","48.3","","101.26","","27","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 19:00","2024","06","01","19:00","","25.2","","7.4","","32","","","","24","","20","","48.3","","101.27","","25","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 20:00","2024","06","01","20:00","","22.9","","7.5","","37","","","","25","","15","","48.3","","101.28","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 21:00","2024","06","01","21:00","","22.9","","8.3","","39","","","","25","","21","","24.1","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 22:00","2024","06","01","22:00","","20.5","","9.2","","48","","","","26","","13","","24.1","","101.29","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-01 23:00","2024","06","01","23:00","","20.1","","10.7","","54","","","","23","","15","","24.1","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 00:00","2024","06","02","00:00","","18.8","","9.2","","53","","","","24","","13","","24.1","","101.27","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 01:00","2024","06","02","01:00","","16.9","","10.3","","65","","","","24","","9","","24.1","","101.28","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 02:00","2024","06","02","02:00","","15.6","","9.4","","66","","","","26","","9","","24.1","","101.27","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 03:00","2024","06","02","03:00","","15.6","","8.6","","63","","","","25","","5","","24.1","","101.24","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 04:00","2024","06","02","04:00","","14.0","","8.5","","69","","","","26","","6","","24.1","","101.23","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 05:00","2024","06","02","05:00","","16.1","","7.9","","58","","","","23","","5","","48.3","","101.26","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 06:00","2024","06","02","06:00","","17.0","","10.1","","63","","","","14","","3","","48.3","","101.30","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 07:00","2024","06","02","07:00","","17.9","","10.7","","62","","","","15","","4","","48.3","","101.31","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 08:00","2024","06","02","08:00","","18.6","","6.2","","44","","","","26","","10","","48.3","","101.32","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-06-02 09:00","2024","06","02","09:00","","19.4","","8.0","","47","","","","19","","5","","48.3","","101.30","","","","","","NA"
